"Grimer",Acid
"Koffing",Acid
"Weezing",Acid
"Muk",Acid
"Muk",Lick
"Arcanine",Bite
"Shedinja",Bite
"Shedinja",Struggle Bug
"Butterfree",Bug Bite
"Beedrill",Bug Bite
"Parasect",Bug Bite
"Venomoth",Bug Bite
"Farfetch'd",Cut
"Gyarados",Dragon Tail
"Ninetales",Ember
"Rapidash",Ember
"Moltres",Ember
"Charizard",Ember
"Charizard",Wing Attack
"Smoochum",Frost Breath
"Nidoking",Fury Cutter
"Kabutops",Fury Cutter
"Suicune",Hidden Power
"Dewgong",Ice Shard
"Lapras",Ice Shard
"Delibird",Ice Shard
"Delibird",Quick Attack
"Primeape",Karate Chop
"Machamp",Karate Chop
"Haunter",Lick
"Gengar",Lick
"Machop",Low Kick
"Diglett",Mud Shot
"Dugtrio",Mud Shot
"Graveler",Mud Shot
"Golem",Mud Shot
"Kingler",Mud Shot
"Seaking",Poison Jab
"Clefable",Pound
"Jynx",Pound
"Pikachu",Present
"Staryu",Quick Attack
"Pichu",Quick Attack
"Starmie",Quick Attack
"Starmie",Tackle
"Porygon",Quick Attack
"Porygon",Tackle
"Porygon",Zen Headbutt
"Weepinbell",Razor Leaf
"Hitmonchan",Rock Smash
"Omastar",Rock Throw
"Charmeleon",Scratch
"Tyranitar",Smack Down
"Scyther",Steel Wing
"Togetic",Steel Wing
"Togetic",Zen Headbutt
"Gastly",Sucker Punch
"Electrode",Tackle
"Zapdos",Thunder Shock
"Zapdos",Thunder Shock
"Seel",Water Gun
"Feraligatr",Water Gun
"Kingdra",Water Gun
"Pidgeot",Wing Attack
"Snorlax",Yawn
"Exeggutor",Zen Headbutt
"Togepi",Zen Headbutt
