"Venusaur",Frenzy Plant
"Blastoise",Hydro Cannon
"Spearow",Twister
"Fearow",Twister
"Ekans",Gunk Shot
"Sandshrew",Rock Tomb
"Jigglypuff",Play Rough
"Jigglypuff",Body Slam
"Zubat",Sludge Bomb
"Golbat",Ominous Wind
"Meowth",Body Slam
"Persian",Night Slash
"Poliwhirl",Scald
"Alakazam",Dazzling Gleam
"Alakazam",Psychic
"Machoke",Cross Chop
"Ponyta",Fire Blast
"Doduo",Swift
"Dodrio",Air Cutter
"Cloyster",Blizzard
"Cloyster",Icy Wind
"Onix",Iron Head
"Onix",Rock Slide
"Hypno",Psyshock
"Hypno",Shadow Ball
"Voltorb",Signal Beam
"Hitmonlee",Stomp
"Hitmonlee",Brick Break
"Rhydon",Megahorn
"Chansey",Psybeam
"Tangela",Power Whip
"Kangaskhan",Brick Break
"Kangaskhan",Stomp
"Seadra",Blizzard
"Eevee",Body Slam
"Eevee",Last Resort
"Vaporeon",Last Resort
"Jolteon",Last Resort
"Flareon",Heat Wave
"Flareon",Last Resort
"Omanyte",Rock Tomb
"Omanyte",Brine
"Articuno",Hurricane
"Mewtwo",Shadow Ball
"Mewtwo",Hyper Beam
"Meganium",Frenzy Plant
"Typhlosion",Blast Burn
"Cleffa",Psychic
"Cleffa",Body Slam
"Igglybuff",Body Slam
"Ampharos",Dragon Pulse
"Politoed",Earthquake
"Espeon",Last Resort
"Umbreon",Last Resort
"Elekid",Thunderbolt
"Magby",Flamethrower
"Sceptile",Frenzy Plant
"Blaziken",Stone Edge
"Blaziken",Blast Burn
"Swampert",Hydro Cannon
"Gardevoir",Synchronoise
"Breloom",Grass Knot
"Slaking",Body Slam
"Loudred",Crunch
"Salamence",Outrage
"Metagross",Meteor Mash
"Mamoswine",Ancient Power
"Gallade",Synchronoise
"Gastrodon",Earthquake
"Arcanine",Bulldoze
"Arcanine",Flamethrower
"Venomoth",Poison Fang
"Dragonite",Dragon Claw
"Dragonite",Dragon Pulse
"Dragonite",Draco Meteor
"Gyarados",Dragon Pulse
"Gyarados",Twister
"Ninetales",Fire Blast
"Ninetales",Flamethrower
"Moltres",Sky Attack
"Charizard",Flamethrower
"Charizard",Blast Burn
"Pinsir",Submission
"Dewgong",Aqua Jet
"Dewgong",Icy Wind
"Lapras",Dragon Pulse
"Lapras",Ice Beam
"Primeape",Cross Chop
"Machamp",Cross Chop
"Machamp",Stone Edge
"Machamp",Submission
"Haunter",Shadow Ball
"Poliwrath",Submission
"Graveler",Rock Slide
"Golem",Ancient Power
"Seaking",Icy Wind
"Seaking",Drill Run
"Jynx",Ice Punch
"Pikachu",Surf
"Pikachu",Thunder
"Starmie",Psybeam
"Porygon",Discharge
"Porygon",Psybeam
"Porygon",Signal Beam
"Hitmonchan",Brick Break
"Omastar",Rock Slide
"Gengar",Sludge Wave
"Gengar",Dark Pulse
"Gengar",Psychic
"Scyther",Bug Buzz
"Gastly",Ominous Wind
"Raichu",Thunder
"Magneton",Discharge
"Zapdos",Discharge
"Seel",Aqua Jet
"Feraligatr",Hydro Cannon
"Pidgeot",Air Cutter
"Snorlax",Body Slam
