ハガネール (シャドウ)	STEEL	GROUND	ドラゴンテール	DRAGON	サイコファング	PSYCHIC	2495	50	1	15	15	7715	275	220	6.0	1692.8	7812.77	2994.9	32959
ハガネール	STEEL	GROUND	ドラゴンテール	DRAGON	サイコファング	PSYCHIC	2495	50	1	15	15	7691	266	253	6.0	1410.6	6510.64	2495.7	39551
ギラティナ (アナザーフォルム)	GHOST	DRAGON	シャドークロー	GHOST	ドラゴンクロー	DRAGON	2497	28	0	14	15	7542	241	427	5.0	1237.3	10310.61	3299.4	35647
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	ドラゴンクロー	DRAGON	2497	28	0	14	15	7498	198	514	6.0	1649.7	10310.61	3368.1	35647
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	かげうち	GHOST	2497	28	0	14	15	7280	350	580	7.5	1649.7	10310.61	3024.4	35647
ギラティナ (アナザーフォルム)	GHOST	DRAGON	りゅうのいぶき	DRAGON	げんしのちから	ROCK	2497	28	0	14	15	7266	334	610	7.5	1649.7	10310.61	3024.4	35647
ラプラス (シャドウ)	WATER	ICE	こおりのつぶて	ICE	なみのり	WATER	2500	43	0	13	15	7228	437	545	6.0	1492.4	16168.17	4187.1	29491
クレセリア	PSYCHIC		ねんりき	PSYCHIC	ムーンフォース	FAIRY	2499	37.5	0	13	15	7200	353	657	10.0	1472.2	16868.55	3159.0	44797
ベロベルト	NORMAL		したでなめる	GHOST	のしかかり	NORMAL	2499	48.5	0	14	15	7176	505	529	6.0	1045.8	12550.02	3137.5	34753
ハガネール	STEEL	GROUND	かみなりのキバ	ELECTRIC	サイコファング	PSYCHIC	2495	50	1	15	15	7172	362	676	7.0	1302.1	6510.64	2232.2	39551
ラプラス	WATER	ICE	こおりのつぶて	ICE	なみのり	WATER	2500	43	0	13	15	7158	507	545	6.0	1243.7	13473.47	3489.3	35389
ヨクバリス	NORMAL		たいあたり	NORMAL	のしかかり	NORMAL	2495	50	3	15	15	7150	392	668	6.0	1282.0	12820.29	3418.7	33193
ギラティナ (アナザーフォルム)	GHOST	DRAGON	シャドークロー	GHOST	げんしのちから	ROCK	2497	28	0	14	15	7140	385	685	6.0	1237.3	10310.61	2955.7	35647
ハガネール (シャドウ)	STEEL	GROUND	かみなりのキバ	ELECTRIC	サイコファング	PSYCHIC	2495	50	1	15	15	7137	340	733	7.0	1562.6	7812.77	2678.7	32959
カビゴン (シャドウ)	NORMAL		したでなめる	GHOST	のしかかり	NORMAL	2499	29.5	0	12	15	7133	496	581	6.0	1290.4	15484.36	3871.1	27360
ミルタンク	NORMAL		たいあたり	NORMAL	のしかかり	NORMAL	2491	50	4	15	15	7114	396	700	6.0	1266.3	12662.98	3376.8	33908
ズルズキン	DARK	FIGHTING	カウンター	FIGHTING	イカサマ	DARK	2494	50	9	15	15	7110	383	717	7.0	1803.8	15782.85	4058.4	29674
クレセリア	PSYCHIC		ねんりき	PSYCHIC	くさむすび	GRASS	2499	37.5	0	13	15	7099	384	727	10.0	1472.2	13801.54	2852.3	44797
カビゴン	NORMAL		したでなめる	GHOST	のしかかり	NORMAL	2499	29.5	0	12	15	7082	538	590	6.0	1075.3	12903.64	3225.9	32832
タチフサグマ	DARK	NORMAL	カウンター	FIGHTING	ブロッキング	DARK	2495	41.5	0	15	15	7082	321	807	6.0	1493.5	3360.35	2053.5	30180
ドククラゲ	WATER	POISON	どくづき	POISON	ねっとう	WATER	2500	50	0	13	15	7070	456	684	8.0	1523.2	17408.33	3699.3	32086
スカタンク (シャドウ)	POISON	DARK	どくづき	POISON	かみくだく	DARK	2500	50	3	15	14	7066	405	739	7.0	2059.1	20591.11	5000.7	21102
ジラーチ	STEEL	PSYCHIC	ねんりき	PSYCHIC	はめつのねがい	STEEL	2500	28.5	2	14	15	7057	468	685	8.0	1886.9	17689.45	4098.1	27317
ヨクバリス	NORMAL		タネマシンガン	GRASS	のしかかり	NORMAL	2495	50	3	15	15	7057	447	706	4.5	593.5	12820.29	3442.5	33193
カメックス	WATER		みずでっぽう	WATER	ハイドロカノン	WATER	2500	48.5	0	12	15	7034	360	816	7.0	1333.0	17772.70	3871.9	30823
エンペルト	WATER	STEEL	たきのぼり	WATER	ドリルくちばし	FLYING	2500	34.5	1	15	14	7032	441	737	7.5	1997.7	13526.00	3801.2	24398
レジスチル	STEEL		ロックオン	NORMAL	きあいだま	FIGHTING	2499	50	0	14	15	7030	369	811	7.5	312.4	23431.77	3436.7	43215
